,RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,From_OSMID,To_OSMID,Adj_Mat_id,WktGeom,street,fromSt,toSt,Direction
51,8542,Manhattan,2012,6,26,13,0,29,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
52,8542,Manhattan,2012,6,26,13,15,16,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
53,8542,Manhattan,2012,6,26,13,30,17,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
54,8542,Manhattan,2012,6,26,13,45,17,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
55,8542,Manhattan,2012,6,26,14,0,14,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
56,8542,Manhattan,2012,6,27,13,45,14,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
57,8542,Manhattan,2012,6,26,14,30,10,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
58,8542,Manhattan,2012,6,26,14,45,10,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
59,8542,Manhattan,2012,6,26,15,15,7,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
60,8542,Manhattan,2012,6,26,15,0,13,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
61,8542,Manhattan,2012,6,26,17,30,9,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
62,8542,Manhattan,2012,6,26,17,15,5,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
63,8542,Manhattan,2012,6,26,17,0,4,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
64,8542,Manhattan,2012,6,26,16,45,7,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
65,8542,Manhattan,2012,6,26,16,30,6,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
66,8542,Manhattan,2012,6,26,16,15,7,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
67,8542,Manhattan,2012,6,26,16,0,4,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
68,8542,Manhattan,2012,6,26,15,45,7,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
69,8542,Manhattan,2012,6,26,15,30,6,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
70,8542,Manhattan,2012,6,27,14,0,14,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
71,8542,Manhattan,2012,6,27,9,30,53,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
72,8542,Manhattan,2012,6,27,9,45,51,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
73,17657,Manhattan,2014,7,11,8,30,158,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
74,8542,Manhattan,2012,6,27,13,15,22,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
75,8542,Manhattan,2012,6,27,13,0,31,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
76,8542,Manhattan,2012,6,27,12,45,29,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
77,8542,Manhattan,2012,6,27,12,30,35,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
78,8542,Manhattan,2012,6,27,12,15,42,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
79,8542,Manhattan,2012,6,27,12,0,43,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
80,8542,Manhattan,2012,6,27,11,45,31,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
81,8542,Manhattan,2012,6,27,11,30,46,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
